"","OTU","Sample","Abundance","sample_Sample","Experiment","Temperature","Treatment","Week","is.neg","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"4753","sq187","MM_TEMP_2_",0.000746129453460175,"MM_TEMP_2_","Temp",26,"",1,FALSE,"Bacteria","Latescibacterota","Phylum_Latescibacterota","Phylum_Latescibacterota","Phylum_Latescibacterota",NA,NA
"4754","sq2359","MM_TEMP_2_",0.000746129453460175,"MM_TEMP_2_","Temp",26,"",1,FALSE,"Bacteria","Spirochaetota","MVP-15","Class_MVP-15","Class_MVP-15",NA,NA
"4755","sq333","MM_TEMP_2_",0.000746129453460175,"MM_TEMP_2_","Temp",26,"",1,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae",NA,NA
"4756","sq1042","MM_TEMP_H3_",0.000745945425670148,"MM_TEMP_H3_","Temp",33,"",1,FALSE,"Bacteria","Myxococcota","Polyangia","Polyangiales","Order_Polyangiales",NA,NA
"4757","sq48","MM_TEMP_H3_",0.000745945425670148,"MM_TEMP_H3_","Temp",33,"",1,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Paraspirulinaceae",NA,NA
"4758","sq2567","MM_TEMP_G1_",0.000745919567113797,"MM_TEMP_G1_","Temp",29,"",3,FALSE,"Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae",NA,NA
"4759","sq2827","MM_TEMP_G6_",0.000745769685748084,"MM_TEMP_G6_","Temp",31,"",1,FALSE,"Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","TG3",NA,NA
"4760","sq4345","MM_TEMP_G6_",0.000745769685748084,"MM_TEMP_G6_","Temp",31,"",1,FALSE,"Bacteria","Bacteroidota","Phylum_Bacteroidota","Phylum_Bacteroidota","Phylum_Bacteroidota",NA,NA
"4761","sq1131","MM_TEMP_G6_",0.000745769685748084,"MM_TEMP_G6_","Temp",31,"",1,FALSE,"Bacteria","Patescibacteria","Gracilibacteria","Candidatus Peregrinibacteria","Order_Candidatus Peregrinibacteria",NA,NA
"4762","sq384","MM_TEMP_G6_",0.000745769685748084,"MM_TEMP_G6_","Temp",31,"",1,FALSE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae",NA,NA
"4763","sq871","MM_TEMP_8_",0.000744145327205078,"MM_TEMP_8_","Temp",26,"",5,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Order_Planctomycetales",NA,NA
"4764","sq954","MM_TEMP_8_",0.000744145327205078,"MM_TEMP_8_","Temp",26,"",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Order_Rhodospirillales",NA,NA
"4765","sq1402","MM_TEMP_H7_",0.000743678730788299,"MM_TEMP_H7_","Temp",33,"",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","Order_Micavibrionales",NA,NA
"4766","sq285","MM_TEMP_H7_",0.000743678730788299,"MM_TEMP_H7_","Temp",33,"",3,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Order_Cytophagales",NA,NA
"4767","sq252","MM_TEMP_G11_",0.000743440497561152,"MM_TEMP_G11_","Temp",31,"",3,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae",NA,NA
"4768","sq365","MM_TEMP_G11_",0.000743440497561152,"MM_TEMP_G11_","Temp",31,"",3,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA
"4769","sq1235","MM_TEMP_4_",0.000743031087461949,"MM_TEMP_4_","Temp",26,"",3,FALSE,"Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Order_Desulfobacterales",NA,NA
"4770","sq2138","MM_TEMP_4_",0.000743031087461949,"MM_TEMP_4_","Temp",26,"",3,FALSE,"Bacteria","Chloroflexi","Anaerolineae","Class_Anaerolineae","Class_Anaerolineae",NA,NA
"4771","sq350","MM_TEMP_5_",0.000743008291972539,"MM_TEMP_5_","Temp",26,"",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Terasakiellaceae",NA,NA
"4772","sq4110","MM_TEMP_5_",0.000743008291972538,"MM_TEMP_5_","Temp",26,"",3,FALSE,"Bacteria","Acetothermia","Acetothermiia","Class_Acetothermiia","Class_Acetothermiia",NA,NA
"4773","sq1547","MM_TEMP_G8_",0.000741680491851273,"MM_TEMP_G8_","Temp",31,"",1,FALSE,"Bacteria","Desulfobacterota","Phylum_Desulfobacterota","Phylum_Desulfobacterota","Phylum_Desulfobacterota",NA,NA
"4774","sq1929","MM_TEMP_G3_",0.000741056791897779,"MM_TEMP_G3_","Temp",29,"",5,FALSE,"Bacteria","Desulfobacterota","Desulfuromonadia","PB19","Order_PB19",NA,NA
"4775","sq1821","MM_TEMP_G2_",0.000740146795781163,"MM_TEMP_G2_","Temp",29,"",3,FALSE,"Bacteria","Desulfobacterota","Desulfuromonadia","Desulfuromonadales","Geoalkalibacteraceae",NA,NA
"4776","sq391","MM_TEMP_11_",0.000738928808031392,"MM_TEMP_11_","Temp",29,"",1,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Parvularculaceae",NA,NA
"4777","sq871","MM_TEMP_11_",0.000738928808031392,"MM_TEMP_11_","Temp",29,"",1,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Order_Planctomycetales",NA,NA
"4778","sq3527","MM_TEMP_G9_",0.00073845226433577,"MM_TEMP_G9_","Temp",31,"",3,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Class_Planctomycetes","Class_Planctomycetes",NA,NA
"4779","sq1243","MM_TEMP_H8_",0.000737240709091518,"MM_TEMP_H8_","Temp",33,"",3,FALSE,"Bacteria","Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria",NA,NA
"4780","sq166","MM_TEMP_H8_",0.000737240709091518,"MM_TEMP_H8_","Temp",33,"",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae",NA,NA
"4781","sq329","MM_TEMP_H5_",0.000734943588113777,"MM_TEMP_H5_","Temp",33,"",1,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","Order_Puniceispirillales",NA,NA
"4782","sq3574","MM_TEMP_H5_",0.000734943588113777,"MM_TEMP_H5_","Temp",33,"",1,FALSE,"Bacteria","Planctomycetota","Pla4 lineage","Class_Pla4 lineage","Class_Pla4 lineage",NA,NA
"4783","sq1379","MM_TEMP_H10_",0.000734377781734022,"MM_TEMP_H10_","Temp",33,"",5,FALSE,"Bacteria","Myxococcota","Polyangia","PS-B29","Order_PS-B29",NA,NA
"4784","sq1408","MM_TEMP_H10_",0.000734377781734022,"MM_TEMP_H10_","Temp",33,"",5,FALSE,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8",NA,NA
"4785","sq267","MM_TEMP_H10_",0.000734377781734022,"MM_TEMP_H10_","Temp",33,"",5,FALSE,"Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","Order_Ignavibacteriales",NA,NA
"4786","sq607","MM_TEMP_G10_",0.000733949851208348,"MM_TEMP_G10_","Temp",31,"",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae",NA,NA
"4787","sq329","MM_TEMP_H4_",0.000733463297882607,"MM_TEMP_H4_","Temp",33,"",1,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","Order_Puniceispirillales",NA,NA
"4788","sq10","MM_TEMP_7_",0.000733385986686224,"MM_TEMP_7_","Temp",26,"",5,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinobacteraceae",NA,NA
"4789","sq1032","MM_TEMP_6_",0.000733205022454404,"MM_TEMP_6_","Temp",26,"",5,FALSE,"Bacteria","Myxococcota","Polyangia","Class_Polyangia","Class_Polyangia",NA,NA
"4790","sq1022","MM_TEMP_9_",0.000730833881458744,"MM_TEMP_9_","Temp",29,"",1,FALSE,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae",NA,NA
"4791","sq285","MM_TEMP_9_",0.000730833881458744,"MM_TEMP_9_","Temp",29,"",1,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Order_Cytophagales",NA,NA
"4792","sq398","MM_TEMP_H11_",0.000730691477701732,"MM_TEMP_H11_","Temp",33,"",5,FALSE,"Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","Melioribacteraceae",NA,NA
"4793","sq269","MM_TEMP_H11_",0.000730691477701732,"MM_TEMP_H11_","Temp",33,"",5,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales","Ectothiorhodospiraceae",NA,NA
