"","OTU","Sample","Abundance","sample_Sample","Experiment","Temperature","Treatment","Week","is.neg","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"59","sq8","MM_Nab_B2_",0.0814534047836884,"MM_Nab_B2_","Summer",22,"Few Large",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"60","sq29","Mat_2P_TATAAT_",0.081306201141721,"Mat_2P_TATAAT_","Summer",22,"ND",1,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"61","sq64","Mat_6P_TCATTC_",0.0808016501566121,"Mat_6P_TCATTC_","Summer",26,"Few Small",1,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA
"62","sq15","Mat_20P_TCCCGA_",0.0801680594386691,"Mat_20P_TCCCGA_","Summer",22,"Few Small",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"63","sq64","MM_Nab_A5_",0.0798363139152846,"MM_Nab_A5_","Summer",22,"Few Small",1,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA
"64","sq15","MM_Nab_C9_",0.079246771802992,"MM_Nab_C9_","Summer",26,"Many Small",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"65","sq15","MM_Nab_A7_",0.0790217999322446,"MM_Nab_A7_","Summer",22,"Many Small",1,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"66","sq15","Mat_38P_TCGGCA_",0.0786189178398459,"Mat_38P_TCGGCA_","Summer",26,"ND",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"67","sq15","Mat_19P_TCCCGA_",0.078464789692549,"Mat_19P_TCCCGA_","Summer",22,"Few Small",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"68","sq15","MM_Nab_A5_",0.0781837140215232,"MM_Nab_A5_","Summer",22,"Few Small",1,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"69","sq64","Mat_37P_TCGGCA_",0.0781217535840433,"Mat_37P_TCGGCA_","Summer",26,"ND",3,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA
"70","sq15","Mat_14P_TCATTC_",0.0778964154475491,"Mat_14P_TCATTC_","Summer",22,"HD",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"71","sq8","Mat_25P_TCCCGA_",0.0778957718780728,"Mat_25P_TCCCGA_","Summer",22,"ND",3,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"72","sq8","Mat_13P_TCATTC_",0.0775088078190703,"Mat_13P_TCATTC_","Summer",22,"HD",3,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"73","sq29","MM_Nab_B5_",0.0774336793097885,"MM_Nab_B5_","Summer",22,"Few Small",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"74","sq14","MM_Nab_B6_",0.0764693739125306,"MM_Nab_B6_","Summer",22,"Few Small",5,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
